taxonomy_id	name	rank	lineage	SRR13439790	SRR13439790_vs_NTC	SRR13439802_ntc1DNA
0				33304	< NTC	165966
1	root	no rank		73	< NTC	133
2	Bacteria	superkingdom	Bacteria	117	< NTC	161
9	Buchnera aphidicola	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Buchnera;Buchnera aphidicola	0	in_NTC	1
22	Shewanella	genus	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella	0	in_NTC	8
24	Shewanella putrefaciens	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella;Shewanella putrefaciens	0	in_NTC	8
31	Myxococcaceae	family	Bacteria;Myxococcota;Myxococcia;Myxococcales;Cystobacterineae;Myxococcaceae	0	in_NTC	1
43	Cystobacter fuscus	species	Bacteria;Myxococcota;Myxococcia;Myxococcales;Cystobacterineae;Archangiaceae;Cystobacter;Cystobacter fuscus	0	in_NTC	1
48	Archangium gephyra	species	Bacteria;Myxococcota;Myxococcia;Myxococcales;Cystobacterineae;Archangiaceae;Archangium;Archangium gephyra	0	in_NTC	1
59	Vitreoscilla	genus	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Vitreoscilla	1	in_sample	0
81	Hyphomicrobium	genus	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Hyphomicrobium	0	in_NTC	1
136	Spirochaetales	order	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales	1	in_sample	0
157	Treponema	genus	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema	8	in_sample	0
158	Treponema denticola	species	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;Treponema denticola	3	in_sample	0
160	Treponema pallidum	species	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;Treponema pallidum	1	in_sample	0
171	Leptospira	genus	Bacteria;Spirochaetota;Spirochaetia;Leptospirales;Leptospiraceae;Leptospira	1	in_sample	0
191	Azospirillum	genus	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Azospirillaceae;Azospirillum	0	in_NTC	1
194	Campylobacter	genus	Bacteria;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter	77	in_sample	0
199	Campylobacter concisus	species	Bacteria;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter concisus	341	in_sample	0
203	Campylobacter rectus	species	Bacteria;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter rectus	3	in_sample	0
204	Campylobacter showae	species	Bacteria;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter showae	3	in_sample	0
210	Helicobacter pylori	species	Bacteria;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter pylori	0	in_NTC	1
222	Achromobacter	genus	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter	0	in_NTC	1
238	Elizabethkingia meningoseptica	species	Bacteria;FCB group;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Elizabethkingia;Elizabethkingia meningoseptica	0	in_NTC	1
246	Chryseobacterium balustinum	species	Bacteria;FCB group;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Chryseobacterium;Chryseobacterium balustinum	0	in_NTC	4
247	Empedobacter brevis	species	Bacteria;FCB group;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Empedobacter;Empedobacter brevis	0	in_NTC	1
253	Chryseobacterium indologenes	species	Bacteria;FCB group;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Chryseobacterium;Chryseobacterium indologenes	0	in_NTC	1
