taxonomy_id	name	rank	lineage	SRR13439790	SRR13439790_vs_NTC	SRR13439802_ntc1DNA
0				30273	< NTC	147900
1	root	no rank		525	< NTC	2362
2	Bacteria	superkingdom	Bacteria	25	< NTC	38
7	Azorhizobium caulinodans	species	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Xanthobacteraceae;Azorhizobium;Azorhizobium caulinodans	0	in_NTC	2
9	Buchnera aphidicola	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Buchnera;Buchnera aphidicola	0	in_NTC	1
22	Shewanella	genus	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella	0	in_NTC	10
48	Archangium gephyra	species	Bacteria;Myxococcota;Myxococcia;Myxococcales;Cystobacterineae;Archangiaceae;Archangium;Archangium gephyra	0	in_NTC	1
49	Polyangiaceae	family	Bacteria;Myxococcota;Polyangia;Polyangiales;Polyangiaceae	0	in_NTC	2
52	Chondromyces crocatus	species	Bacteria;Myxococcota;Polyangia;Polyangiales;Polyangiaceae;Chondromyces;Chondromyces crocatus	0	in_NTC	3
56	Sorangium cellulosum	species	Bacteria;Myxococcota;Polyangia;Polyangiales;Polyangiaceae;Sorangium;Sorangium cellulosum	0	in_NTC	2
112	Planctomycetales	order	Bacteria;PVC group;Planctomycetota;Planctomycetia;Planctomycetales	0	in_NTC	21
157	Treponema	genus	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema	5	< NTC	6
158	Treponema denticola	species	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;Treponema denticola	2	in_sample	0
167	Treponema succinifaciens	species	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;Treponema succinifaciens	2	in_sample	0
171	Leptospira	genus	Bacteria;Spirochaetota;Spirochaetia;Leptospirales;Leptospiraceae;Leptospira	1	in_sample	0
194	Campylobacter	genus	Bacteria;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter	29	in_sample	0
195	Campylobacter coli	species	Bacteria;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter coli	0	in_NTC	4
196	Campylobacter fetus	species	Bacteria;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter fetus	1	in_sample	0
197	Campylobacter jejuni	species	Bacteria;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter jejuni	0	in_NTC	2
199	Campylobacter concisus	species	Bacteria;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter concisus	392	in_sample	0
200	Campylobacter curvus	species	Bacteria;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter curvus	5	in_sample	0
210	Helicobacter pylori	species	Bacteria;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter pylori	1	in_sample	0
222	Achromobacter	genus	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter	0	in_NTC	1
286	Pseudomonas	genus	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	4	< NTC	9
287	Pseudomonas aeruginosa	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa group;Pseudomonas aeruginosa	0	in_NTC	3
292	Burkholderia cepacia	species	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia cepacia complex;Burkholderia cepacia	0	in_NTC	1
294	Pseudomonas fluorescens	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas fluorescens group;Pseudomonas fluorescens	8	< NTC	40
303	Pseudomonas putida	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas putida group;Pseudomonas putida	1	< NTC	9
316	Stutzerimonas stutzeri	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Stutzerimonas;Stutzerimonas stutzeri group;Stutzerimonas stutzeri subgroup;Stutzerimonas stutzeri	0	in_NTC	1
