taxonomy_id	name	rank	lineage	SRR13439790	SRR13439790_vs_NTC	SRR13439802_ntc1DNA
0				1412095	> NTC	679854
1	root	no rank		163	> NTC	70
2	Bacteria	superkingdom	Bacteria	115	< NTC	307
10	Cellvibrio	genus	Bacteria;Pseudomonadota;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Cellvibrio	0	in_NTC	33
22	Shewanella	genus	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella	0	in_NTC	26
31	Myxococcaceae	family	Bacteria;Myxococcota;Myxococcia;Myxococcales;Cystobacterineae;Myxococcaceae	0	in_NTC	1
68	Lysobacter	genus	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Lysobacter	0	in_NTC	1
136	Spirochaetales	order	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales	3	in_sample	0
157	Treponema	genus	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema	19	in_sample	0
160	Treponema pallidum	species	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;Treponema pallidum	1	in_sample	0
194	Campylobacter	genus	Bacteria;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter	1	in_sample	0
199	Campylobacter concisus	species	Bacteria;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter concisus	7	> NTC	1
222	Achromobacter	genus	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter	0	in_NTC	2
280	Xanthobacter autotrophicus	species	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Xanthobacteraceae;Xanthobacter;Xanthobacter autotrophicus	0	in_NTC	1
286	Pseudomonas	genus	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	5	< NTC	28
356	Hyphomicrobiales	order	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales	1	< NTC	185
357	Agrobacterium	genus	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Agrobacterium	0	in_NTC	1
374	Bradyrhizobium	genus	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium	0	in_NTC	2
407	Methylobacterium	genus	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium	1	< NTC	41
408	Methylorubrum extorquens	species	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylorubrum;Methylorubrum extorquens	0	in_NTC	114
410	Methylobacterium organophilum	species	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium organophilum	0	in_NTC	2
416	Methylomonas	genus	Bacteria;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylomonas	2	in_sample	0
444	Legionellaceae	family	Bacteria;Pseudomonadota;Gammaproteobacteria;Legionellales;Legionellaceae	0	in_NTC	9
445	Legionella	genus	Bacteria;Pseudomonadota;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella	0	in_NTC	2
446	Legionella pneumophila	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;Legionella pneumophila	0	in_NTC	1
468	Moraxellaceae	family	Bacteria;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae	0	in_NTC	37
469	Acinetobacter	genus	Bacteria;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter	0	in_NTC	326
470	Acinetobacter baumannii	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter baumannii	2	equal	2
475	Moraxella	genus	Bacteria;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Moraxella	0	in_NTC	3
481	Neisseriaceae	family	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae	2	in_sample	0
485	Neisseria gonorrhoeae	species	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria gonorrhoeae	114	< NTC	327
543	Enterobacteriaceae	family	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae	0	in_NTC	21
562	Escherichia coli	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli	5	< NTC	214
573	Klebsiella pneumoniae	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae	16	equal	16
630	Yersinia enterocolitica	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia;Yersinia enterocolitica	5	in_sample	0
670	Vibrio parahaemolyticus	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio harveyi group;Vibrio parahaemolyticus	15	> NTC	6
747	Pasteurella multocida	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Pasteurella;Pasteurella multocida	1	in_sample	0
815	Bacteroidaceae	family	Bacteria;FCB group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae	1	in_sample	0
837	Porphyromonas gingivalis	species	Bacteria;FCB group;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Porphyromonas gingivalis	10	in_sample	0
838	Prevotella	genus	Bacteria;FCB group;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	251	in_sample	0
970	Selenomonas	genus	Bacteria;Terrabacteria group;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas	5	in_sample	0
976	Bacteroidota	phylum	Bacteria;FCB group;Bacteroidota	5	< NTC	123
985	Cytophaga hutchinsonii	species	Bacteria;FCB group;Bacteroidota;Cytophagia;Cytophagales;Cytophagaceae;Cytophaga;Cytophaga hutchinsonii	0	in_NTC	28
1016	Capnocytophaga	genus	Bacteria;FCB group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	2	in_sample	0
1017	Capnocytophaga gingivalis	species	Bacteria;FCB group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;Capnocytophaga gingivalis	2	in_sample	0
1084	Pararhodospirillum photometricum	species	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Pararhodospirillum;Pararhodospirillum photometricum	43	> NTC	5
1161	Nostocales	order	Bacteria;Terrabacteria group;Cyanobacteriota;Cyanophyceae;Nostocales	0	in_NTC	1
1224	Pseudomonadota	phylum	Bacteria;Pseudomonadota	22	< NTC	272
1236	Gammaproteobacteria	class	Bacteria;Pseudomonadota;Gammaproteobacteria	3	< NTC	61
1239	Bacillota	phylum	Bacteria;Terrabacteria group;Bacillota	290	< NTC	423
1268	Micrococcaceae	family	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae	2	< NTC	6
1279	Staphylococcus	genus	Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	7	> NTC	2
1280	Staphylococcus aureus	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus	1238	< NTC	4770
1283	Staphylococcus haemolyticus	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus haemolyticus	2	> NTC	1
1300	Streptococcaceae	family	Bacteria;Terrabacteria group;Bacillota;Bacilli;Lactobacillales;Streptococcaceae	4	in_sample	0
1301	Streptococcus	genus	Bacteria;Terrabacteria group;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	225	in_sample	0
1303	Streptococcus oralis	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus oralis	0	in_NTC	1
1304	Streptococcus salivarius	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus salivarius	6	in_sample	0
1307	Streptococcus suis	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus suis	1	in_sample	0
1382	Lancefieldella parvula	species	Bacteria;Terrabacteria group;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella;Lancefieldella parvula	3	in_sample	0
1385	Bacillales	order	Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales	52	> NTC	2
1428	Bacillus thuringiensis	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus group;Bacillus thuringiensis	3	< NTC	35
1491	Clostridium botulinum	species	Bacteria;Terrabacteria group;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium botulinum	471	< NTC	1689
1613	Limosilactobacillus fermentum	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;Limosilactobacillus fermentum	1	in_sample	0
1654	Actinomyces	genus	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces	3	in_sample	0
1660	Schaalia odontolytica	species	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;Schaalia odontolytica	5	in_sample	0
1678	Bifidobacterium	genus	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	3	in_sample	0
1716	Corynebacterium	genus	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium	2	equal	2
