taxonomy_id	name	rank	lineage	SRR13439799_p_compressed+h+v.centrifuge	SRR13439802_p_compressed+h+v.centrifuge	SRR13439790_p_compressed+h+v.centrifuge	SRR13439813_p_compressed+h+v.centrifuge
0				532	147900	30273	307667
1	root	no rank		0	2362	525	10570
131567	cellular organisms	no rank		4	18	13	63
2759	Eukaryota	superkingdom	Eukaryota	0	0	0	0
33154	Opisthokonta	clade	Eukaryota;Opisthokonta	0	0	0	0
33208	Metazoa	kingdom	Eukaryota;Opisthokonta;Metazoa	0	0	0	0
6072	Eumetazoa	clade	Eukaryota;Metazoa;Opisthokonta	0	0	0	0
33213	Bilateria	clade	Eukaryota;Metazoa;Opisthokonta	0	0	0	0
33511	Deuterostomia	clade	Eukaryota;Metazoa;Opisthokonta	0	0	0	0
7711	Chordata	phylum	Eukaryota;Metazoa;Opisthokonta;Chordata	0	0	0	0
89593	Craniata	subphylum	Eukaryota;Metazoa;Opisthokonta;Chordata;Craniata	0	0	0	0
7742	Vertebrata	clade	Eukaryota;Metazoa;Chordata;Craniata;Opisthokonta	0	0	0	0
7776	Gnathostomata	clade	Eukaryota;Metazoa;Chordata;Craniata;Opisthokonta	0	0	0	0
117570	Teleostomi	clade	Eukaryota;Metazoa;Chordata;Craniata;Opisthokonta	0	0	0	0
117571	Euteleostomi	clade	Eukaryota;Metazoa;Chordata;Craniata;Opisthokonta	0	0	0	0
8287	Sarcopterygii	superclass	Eukaryota;Metazoa;Chordata;Craniata;Opisthokonta;Sarcopterygii	0	0	0	0
1338369	Dipnotetrapodomorpha	clade	Eukaryota;Metazoa;Chordata;Craniata;Sarcopterygii;Opisthokonta	0	0	0	0
32523	Tetrapoda	clade	Eukaryota;Metazoa;Chordata;Craniata;Sarcopterygii;Opisthokonta	0	0	0	0
32524	Amniota	clade	Eukaryota;Metazoa;Chordata;Craniata;Sarcopterygii;Opisthokonta	0	0	0	0
40674	Mammalia	class	Eukaryota;Metazoa;Chordata;Craniata;Sarcopterygii;Opisthokonta;Mammalia	0	0	0	0
32525	Theria	clade	Eukaryota;Metazoa;Chordata;Craniata;Sarcopterygii;Mammalia;Opisthokonta	0	0	0	0
9347	Eutheria	clade	Eukaryota;Metazoa;Chordata;Craniata;Sarcopterygii;Mammalia;Opisthokonta	0	0	0	0
1437010	Boreoeutheria	clade	Eukaryota;Metazoa;Chordata;Craniata;Sarcopterygii;Mammalia;Opisthokonta	0	0	0	0
