taxonomy_id	name	rank	lineage	SRR13439799_diamond.diamond	SRR13439802_diamond.diamond	SRR13439790_diamond.diamond	SRR13439813_diamond.diamond
0				1170	679854	1412095	389572
1491	Clostridium botulinum	species	Bacteria;Terrabacteria group;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium botulinum	20	1689	471	63
11320	Influenza A virus	no rank	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Alphainfluenzavirus;Alphainfluenzavirus influenzae	13	0	2	0
9606	Homo sapiens	species	Eukaryota;Metazoa;Chordata;Craniata;Sarcopterygii;Mammalia;Opisthokonta;Euarchontoglires;Primates;Haplorrhini;Simiiformes;Catarrhini;Hominoidea;Hominidae;Homininae;Homo;Homo sapiens	10	19517	25330	1603
131567	cellular organisms	no rank		15	7828	2111	2069
2759	Eukaryota	superkingdom	Eukaryota	2	3793	872	52
1280	Staphylococcus aureus	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus	8	4770	1238	49
1239	Bacillota	phylum	Bacteria;Terrabacteria group;Bacillota	5	423	290	99
171549	Bacteroidales	order	Bacteria;FCB group;Bacteroidota;Bacteroidia;Bacteroidales	0	3	33	46
716545	saccharomyceta	clade	Eukaryota;Fungi;Dikarya;Ascomycota;Opisthokonta	0	816	16	25
11676	Human immunodeficiency virus 1	species	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Lentivirus;Human immunodeficiency virus 1	0	5083	0	4
562	Escherichia coli	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli	0	214	5	579
4892	Saccharomycetales	order	Eukaryota;Fungi;Dikarya;Ascomycota;Opisthokonta;Saccharomycotina;Saccharomycetes;Saccharomycetales	0	381	1	6
2	Bacteria	superkingdom	Bacteria	0	307	115	22611
573729	Thermothelomyces thermophilus ATCC 42464	strain	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Opisthokonta;Sordariomycetes;Sordariomycetidae;Sordariales;Chaetomiaceae;Thermothelomyces;Thermothelomyces thermophilus;Thermothelomyces thermophilus ATCC 42464	0	216	3	13
43765	Corynebacterium amycolatum	species	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium amycolatum	0	235	61	1
44013	Polynucleobacter	genus	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Polynucleobacter	0	25	0	8
119045	Methylobacteriaceae	family	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae	0	1426	2	2087
223967	Methylorubrum populi	species	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylorubrum;Methylorubrum populi	0	418	0	50
322104	Scheffersomyces stipitis CBS 6054	strain	Eukaryota;Fungi;Dikarya;Ascomycota;Opisthokonta;Saccharomycotina;Pichiomycetes;Serinales;Debaryomycetaceae;Scheffersomyces;Scheffersomyces stipitis;Scheffersomyces stipitis CBS 6054	0	967	26	8
296543	Thalassiosira pseudonana CCMP1335	strain	Eukaryota;Sar;Bacillariophyta;Coscinodiscophyceae;Thalassiosirophycidae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira pseudonana;Thalassiosira pseudonana CCMP1335	0	119	3	5
578455	Thermothielavioides terrestris NRRL 8126	strain	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Opisthokonta;Sordariomycetes;Sordariomycetidae;Sordariales;Chaetomiaceae;Thermothielavioides;Thermothielavioides terrestris;Thermothielavioides terrestris NRRL 8126	0	406	5	9
94643	Besnoitia besnoiti	species	Eukaryota;Sar;Apicomplexa;Conoidasida;Coccidia;Eucoccidiorida;Eimeriorina;Sarcocystidae;Besnoitia;Besnoitia besnoiti	0	341	97	0
1279085	Fusarium fujikuroi IMI 58289	strain	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Opisthokonta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Nectriaceae;Fusarium;Fusarium fujikuroi species complex;Fusarium fujikuroi;Fusarium fujikuroi IMI 58289	0	65	0	1
356	Hyphomicrobiales	order	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales	0	185	1	7167
1220207	Aspergillus puulaauensis	species	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Opisthokonta;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus puulaauensis	0	31	0	40
2842329	Schitoviridae	family	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Schitoviridae	0	2	2	187
5866	Babesia bigemina	species	Eukaryota;Sar;Apicomplexa;Aconoidasida;Piroplasmida;Babesiidae;Babesia;Babesia bigemina	0	127	22	222
84993	Acidimicrobiales	order	Bacteria;Terrabacteria group;Actinomycetota;Acidimicrobiia;Acidimicrobiales	0	3	0	0
976	Bacteroidota	phylum	Bacteria;FCB group;Bacteroidota	0	123	5	20811
36050	Fusarium poae	species	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Opisthokonta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Nectriaceae;Fusarium;Fusarium sambucinum species complex;Fusarium poae	0	99	2	1
237561	Candida albicans SC5314	strain	Eukaryota;Fungi;Dikarya;Ascomycota;Saccharomycotina;Pichiomycetes;Serinales;Debaryomycetaceae;Opisthokonta;Candida;Candida albicans;Candida albicans SC5314	0	32	2	0
2306583	Halomonas sp. JS92-SW72	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas;Halomonas sp. JS92-SW72	0	200	2	1
485	Neisseria gonorrhoeae	species	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria gonorrhoeae	0	327	114	0
1224	Pseudomonadota	phylum	Bacteria;Pseudomonadota	0	272	22	28651
35718	Chaetomiaceae	family	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Opisthokonta;Sordariomycetes;Sordariomycetidae;Sordariales;Chaetomiaceae	0	183	3	2
376175	Schlegelella aquatica	species	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Caldimonas;Schlegelella aquatica	0	20	0	22
469	Acinetobacter	genus	Bacteria;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter	0	326	0	482
985	Cytophaga hutchinsonii	species	Bacteria;FCB group;Bacteroidota;Cytophagia;Cytophagales;Cytophagaceae;Cytophaga;Cytophaga hutchinsonii	0	28	0	10
147550	Sordariomycetes	class	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Opisthokonta;Sordariomycetes	0	180	2	200
2282523	Methylorubrum	genus	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylorubrum	0	291	0	44
116085	Coprococcus catus	species	Bacteria;Terrabacteria group;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus;Coprococcus catus	0	44	56	33
716546	leotiomyceta	clade	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Opisthokonta	0	63	1	369
451864	Dikarya	subkingdom	Eukaryota;Opisthokonta;Fungi;Dikarya	0	29	0	47
28211	Alphaproteobacteria	class	Bacteria;Pseudomonadota;Alphaproteobacteria	0	120	6	9765
11646	Lentivirus	genus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Lentivirus	0	277	0	0
563835	Chitinophagaceae	family	Bacteria;FCB group;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae	0	17	0	6294
2762318	Weeksellaceae	family	Bacteria;FCB group;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae	0	68	0	4695
200644	Flavobacteriales	order	Bacteria;FCB group;Bacteroidota;Flavobacteriia;Flavobacteriales	0	90	0	3916
2943192	Blastopirellula sp. J2-11	species	Bacteria;PVC group;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Blastopirellula;Blastopirellula sp. J2-11	0	1	0	0
80865	Delftia	genus	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia	0	42	1	1135
467094	Ilumatobacter coccineus	species	Bacteria;Terrabacteria group;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Ilumatobacteraceae;Ilumatobacter;Ilumatobacter coccineus	0	1	0	0
2162846	Candidatus Nanopelagicaceae	family	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Candidatus Nanopelagicales;Candidatus Nanopelagicaceae	0	4	2	0
407	Methylobacterium	genus	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium	0	41	1	10312
11723	Simian immunodeficiency virus	species	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Lentivirus;Simian immunodeficiency virus	0	22	0	0
