taxonomy_id	name	rank	lineage	SRR13439799_k2_pluspf.kraken2.kraken2.report	SRR13439802_k2_pluspf.kraken2.kraken2.report	SRR13439802_ntc1DNA_k2_pluspf.kraken2.kraken2.report	SRR13439802_ntc1RNA_k2_pluspf.kraken2.kraken2.report	SRR13439802_ntc2DNA_k2_pluspf.kraken2.kraken2.report	SRR13439790_k2_pluspf.kraken2.kraken2.report	SRR13439813_k2_pluspf.kraken2.kraken2.report
0				685	165966	165966	165966	165966	33304	275483
1	root	no rank		0	133	133	133	133	73	111
131567	cellular organisms	no rank		13	1644	1644	1644	1644	73	264
2759	Eukaryota	superkingdom	Eukaryota	0	503	503	503	503	120	38
33154	Opisthokonta	clade	Eukaryota;Opisthokonta	1	10	10	10	10	3	0
33208	Metazoa	kingdom	Eukaryota;Opisthokonta;Metazoa	0	0	0	0	0	0	0
6072	Eumetazoa	clade	Eukaryota;Metazoa;Opisthokonta	0	0	0	0	0	0	0
33213	Bilateria	clade	Eukaryota;Metazoa;Opisthokonta	0	0	0	0	0	0	0
33511	Deuterostomia	clade	Eukaryota;Metazoa;Opisthokonta	0	0	0	0	0	0	0
7711	Chordata	phylum	Eukaryota;Metazoa;Opisthokonta;Chordata	0	0	0	0	0	0	0
89593	Craniata	subphylum	Eukaryota;Metazoa;Opisthokonta;Chordata;Craniata	0	0	0	0	0	0	0
7742	Vertebrata	clade	Eukaryota;Metazoa;Chordata;Craniata;Opisthokonta	0	0	0	0	0	0	0
7776	Gnathostomata	clade	Eukaryota;Metazoa;Chordata;Craniata;Opisthokonta	0	0	0	0	0	0	0
117570	Teleostomi	clade	Eukaryota;Metazoa;Chordata;Craniata;Opisthokonta	0	0	0	0	0	0	0
117571	Euteleostomi	clade	Eukaryota;Metazoa;Chordata;Craniata;Opisthokonta	0	0	0	0	0	0	0
8287	Sarcopterygii	superclass	Eukaryota;Metazoa;Chordata;Craniata;Opisthokonta;Sarcopterygii	0	0	0	0	0	0	0
1338369	Dipnotetrapodomorpha	clade	Eukaryota;Metazoa;Chordata;Craniata;Sarcopterygii;Opisthokonta	0	0	0	0	0	0	0
32523	Tetrapoda	clade	Eukaryota;Metazoa;Chordata;Craniata;Sarcopterygii;Opisthokonta	0	0	0	0	0	0	0
32524	Amniota	clade	Eukaryota;Metazoa;Chordata;Craniata;Sarcopterygii;Opisthokonta	0	0	0	0	0	0	0
40674	Mammalia	class	Eukaryota;Metazoa;Chordata;Craniata;Sarcopterygii;Opisthokonta;Mammalia	0	0	0	0	0	0	0
32525	Theria	clade	Eukaryota;Metazoa;Chordata;Craniata;Sarcopterygii;Mammalia;Opisthokonta	0	0	0	0	0	0	0
9347	Eutheria	clade	Eukaryota;Metazoa;Chordata;Craniata;Sarcopterygii;Mammalia;Opisthokonta	0	0	0	0	0	0	0
1437010	Boreoeutheria	clade	Eukaryota;Metazoa;Chordata;Craniata;Sarcopterygii;Mammalia;Opisthokonta	0	0	0	0	0	0	0
314146	Euarchontoglires	superorder	Eukaryota;Metazoa;Chordata;Craniata;Sarcopterygii;Mammalia;Opisthokonta;Euarchontoglires	0	0	0	0	0	0	0
9443	Primates	order	Eukaryota;Metazoa;Chordata;Craniata;Sarcopterygii;Mammalia;Opisthokonta;Euarchontoglires;Primates	0	0	0	0	0	0	0
376913	Haplorrhini	suborder	Eukaryota;Metazoa;Chordata;Craniata;Sarcopterygii;Mammalia;Opisthokonta;Euarchontoglires;Primates;Haplorrhini	0	0	0	0	0	0	0
314293	Simiiformes	infraorder	Eukaryota;Metazoa;Chordata;Craniata;Sarcopterygii;Mammalia;Opisthokonta;Euarchontoglires;Primates;Haplorrhini;Simiiformes	0	0	0	0	0	0	0
9526	Catarrhini	parvorder	Eukaryota;Metazoa;Chordata;Craniata;Sarcopterygii;Mammalia;Opisthokonta;Euarchontoglires;Primates;Haplorrhini;Simiiformes;Catarrhini	0	0	0	0	0	0	0
314295	Hominoidea	superfamily	Eukaryota;Metazoa;Chordata;Craniata;Sarcopterygii;Mammalia;Opisthokonta;Euarchontoglires;Primates;Haplorrhini;Simiiformes;Catarrhini;Hominoidea	0	0	0	0	0	0	0
9604	Hominidae	family	Eukaryota;Metazoa;Chordata;Craniata;Sarcopterygii;Mammalia;Opisthokonta;Euarchontoglires;Primates;Haplorrhini;Simiiformes;Catarrhini;Hominoidea;Hominidae	0	0	0	0	0	0	0
207598	Homininae	subfamily	Eukaryota;Metazoa;Chordata;Craniata;Sarcopterygii;Mammalia;Opisthokonta;Euarchontoglires;Primates;Haplorrhini;Simiiformes;Catarrhini;Hominoidea;Hominidae;Homininae	0	0	0	0	0	0	0
9605	Homo	genus	Eukaryota;Metazoa;Chordata;Craniata;Sarcopterygii;Mammalia;Opisthokonta;Euarchontoglires;Primates;Haplorrhini;Simiiformes;Catarrhini;Hominoidea;Hominidae;Homininae;Homo	0	0	0	0	0	0	0
9606	Homo sapiens	species	Eukaryota;Metazoa;Chordata;Craniata;Sarcopterygii;Mammalia;Opisthokonta;Euarchontoglires;Primates;Haplorrhini;Simiiformes;Catarrhini;Hominoidea;Hominidae;Homininae;Homo;Homo sapiens	493	187259	187259	187259	187259	674036	19245
4751	Fungi	kingdom	Eukaryota;Opisthokonta;Fungi	0	0	0	0	0	0	0
451864	Dikarya	subkingdom	Eukaryota;Opisthokonta;Fungi;Dikarya	0	32	32	32	32	1	2
4890	Ascomycota	phylum	Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota	0	37	37	37	37	0	1
716545	saccharomyceta	clade	Eukaryota;Fungi;Dikarya;Ascomycota;Opisthokonta	0	15	15	15	15	0	0
147538	Pezizomycotina	subphylum	Eukaryota;Fungi;Dikarya;Ascomycota;Opisthokonta;Pezizomycotina	0	0	0	0	0	0	0
716546	leotiomyceta	clade	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Opisthokonta	0	40	40	40	40	0	10
715989	sordariomyceta	clade	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Opisthokonta	0	0	0	0	0	0	0
147550	Sordariomycetes	class	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Opisthokonta;Sordariomycetes	0	7	7	7	7	1	5
222544	Sordariomycetidae	subclass	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Opisthokonta;Sordariomycetes;Sordariomycetidae	0	0	0	0	0	0	0
