readID	seqID	taxID	score	2ndBestScore	hitLength	queryLength	numMatches
SRR13439799.37	unclassified	0	0	0	0	1043	1
SRR13439799.18	unclassified	0	0	0	0	1165	1
SRR13439799.58	unclassified	0	0	0	0	1291	1
SRR13439799.102	unclassified	0	0	0	0	1025	1
SRR13439799.22	cid|173	173	64	0	23	1205	1
SRR13439799.79	unclassified	0	0	0	0	1346	1
SRR13439799.68	NC_000001.11	9606	121	121	26	1286	2
SRR13439799.68	NC_000003.12	9606	121	121	26	1286	2
SRR13439799.55	NC_000012.12	9606	64	0	23	1827	1
SRR13439799.192	unclassified	0	0	0	0	1327	1
SRR13439799.131	unclassified	0	0	0	0	1589	1
SRR13439799.135	unclassified	0	0	0	0	1914	1
SRR13439799.103	NC_000008.11	9606	64	64	23	1365	2
SRR13439799.103	NC_000013.11	9606	64	64	23	1365	2
SRR13439799.200	unclassified	0	0	0	0	1384	1
SRR13439799.165	NC_000016.10	9606	121	121	26	1308	2
SRR13439799.165	NC_000001.11	9606	121	121	26	1308	2
SRR13439799.268	unclassified	0	0	0	0	1005	1
SRR13439799.127	NC_000002.12	9606	650	0	110	1028	1
SRR13439799.275	NC_000023.11	9606	144	0	27	1090	1
SRR13439799.290	unclassified	0	0	0	0	1038	1
SRR13439799.264	NC_000023.11	9606	225	144	30	1269	1
SRR13439799.289	unclassified	0	0	0	0	1511	1
SRR13439799.129	NC_000009.12	9606	2304	144	63	1959	1
SRR13439799.317	NC_000004.12	9606	81	81	24	1080	2
SRR13439799.317	NC_000005.10	9606	81	81	24	1080	2
SRR13439799.277	NC_000006.12	9606	289	81	32	1527	1
SRR13439799.341	cid|1617448	1617448	81	0	24	1646	1
SRR13439799.352	NC_000018.10	9606	196	100	29	1057	1
SRR13439799.356	unclassified	0	0	0	0	1206	1
SRR13439799.403	unclassified	0	0	0	0	1014	1
SRR13439799.291	NC_000010.11	9606	244	144	52	1905	1
SRR13439799.388	NC_000003.12	9606	144	0	27	1096	1
SRR13439799.375	NC_000018.10	9606	100	100	25	1333	2
SRR13439799.375	NC_000008.11	9606	100	100	25	1333	2
SRR13439799.404	NC_000011.10	9606	121	0	26	1361	1
SRR13439799.470	NC_000011.10	9606	64	64	23	1428	3
SRR13439799.470	NC_000014.9	9606	64	64	23	1428	3
SRR13439799.470	NC_000008.11	9606	64	64	23	1428	3
SRR13439799.511	unclassified	0	0	0	0	1417	1
SRR13439799.493	unclassified	0	0	0	0	1119	1
SRR13439799.473	NC_000009.12	9606	64	0	23	1126	1
SRR13439799.488	NC_000001.11	9606	100	0	25	2191	1
SRR13439799.570	cid|33964	33964	81	0	24	1019	1
SRR13439799.577	unclassified	0	0	0	0	1213	1
SRR13439799.569	unclassified	0	0	0	0	1319	1
SRR13439799.532	NC_000009.12	9606	256	164	31	1190	1
SRR13439799.524	NC_000018.10	9606	81	81	24	1149	3
SRR13439799.524	NW_003315917.2	9606	81	81	24	1149	3
SRR13439799.524	NC_000005.10	9606	81	81	24	1149	3
SRR13439799.641	unclassified	0	0	0	0	1057	1
SRR13439799.706	NC_000004.12	9606	64	64	23	1512	2
SRR13439799.706	NC_000010.11	9606	64	64	23	1512	2
SRR13439799.650	NC_000016.10	9606	484	484	37	1115	3
SRR13439799.650	NC_000011.10	9606	484	484	37	1115	3
SRR13439799.650	NC_000005.10	9606	484	484	37	1115	3
SRR13439799.643	unclassified	0	0	0	0	1709	1
SRR13439799.651	NC_000010.11	9606	121	121	26	1109	5
SRR13439799.651	NC_000004.12	9606	121	121	26	1109	5
SRR13439799.651	NC_000003.12	9606	121	121	26	1109	5
SRR13439799.651	NW_013171800.1	9606	121	121	26	1109	5
SRR13439799.651	NC_000009.12	9606	121	121	26	1109	5
SRR13439799.788	NC_000006.12	9606	64	0	23	1005	1
SRR13439799.755	NC_000008.11	9606	64	0	23	1123	1
SRR13439799.752	unclassified	0	0	0	0	1384	1
SRR13439799.770	unclassified	0	0	0	0	1137	1
SRR13439799.743	NC_002019.1	211044	8618	0	253	1590	1
SRR13439799.789	NC_000001.11	9606	100	0	25	1315	1
SRR13439799.845	unclassified	0	0	0	0	1135	1
SRR13439799.774	unclassified	0	0	0	0	1963	1
SRR13439799.861	unclassified	0	0	0	0	1197	1
SRR13439799.808	NC_000003.12	9606	121	0	26	1224	1
SRR13439799.793	NC_000018.10	9606	576	169	39	1263	1
SRR13439799.872	unclassified	0	0	0	0	1030	1
SRR13439799.886	NC_000004.12	9606	100	0	25	1019	1
SRR13439799.884	NC_000010.11	9606	81	0	24	1074	1
SRR13439799.877	NC_000016.10	9606	289	81	32	1398	1
SRR13439799.880	unclassified	0	0	0	0	1469	1
SRR13439799.124	unclassified	0	0	0	0	1840	1
SRR13439799.726	NT_187667.1	9606	256	256	31	2998	4
SRR13439799.726	NC_000024.10	9606	256	256	31	2998	4
SRR13439799.726	NC_000023.11	9606	256	256	31	2998	4
SRR13439799.726	NT_187634.1	9606	256	256	31	2998	4
SRR13439799.957	unclassified	0	0	0	0	1019	1
SRR13439799.960	unclassified	0	0	0	0	1130	1
SRR13439799.955	NC_000002.12	9606	841	144	44	1040	1
SRR13439799.967	NC_000005.10	9606	121	64	26	1169	1
SRR13439799.921	NC_000012.12	9606	121	0	26	1530	1
SRR13439799.981	NC_000010.11	9606	121	100	26	1267	1
SRR13439799.974	NC_000006.12	9606	64	64	23	1511	3
SRR13439799.974	cid|1116375	1116375	64	64	23	1511	3
SRR13439799.974	cid|691	691	64	64	23	1511	3
SRR13439799.1065	NC_000004.12	9606	484	0	37	1216	1
SRR13439799.984	NC_000015.10	9606	2050	0	92	1167	1
SRR13439799.1103	unclassified	0	0	0	0	1094	1
SRR13439799.1135	NC_000006.12	9606	196	81	29	1033	1
SRR13439799.1153	unclassified	0	0	0	0	1106	1
SRR13439799.1113	unclassified	0	0	0	0	1459	1
SRR13439799.1179	unclassified	0	0	0	0	1215	1
SRR13439799.1152	NC_000010.11	9606	196	121	29	1130	1
SRR13439799.1169	NC_000012.12	9606	196	81	29	1122	1
SRR13439799.1214	unclassified	0	0	0	0	1187	1
SRR13439799.1253	unclassified	0	0	0	0	1022	1
SRR13439799.1219	unclassified	0	0	0	0	2182	1
SRR13439799.1353	NC_000017.11	9606	484	0	37	1173	1
SRR13439799.1363	unclassified	0	0	0	0	1127	1
SRR13439799.1386	unclassified	0	0	0	0	1195	1
SRR13439799.1259	unclassified	0	0	0	0	2441	1
SRR13439799.1380	NC_000014.9	9606	388	0	56	1241	1
SRR13439799.1205	NC_000007.14	9606	100	0	25	2855	1
SRR13439799.1322	NC_000013.11	9606	81	81	24	1939	3
SRR13439799.1322	NC_000001.11	9606	81	81	24	1939	3
SRR13439799.1322	NC_000020.11	9606	81	81	24	1939	3
SRR13439799.1480	species	9606	121	0	26	1375	1
SRR13439799.1396	NC_000018.10	9606	289	81	32	1324	1
SRR13439799.1416	NC_000011.10	9606	625	0	40	1101	1
SRR13439799.1471	NC_000008.11	9606	144	121	27	1177	1
SRR13439799.1359	NC_000001.11	9606	337	256	55	1788	1
SRR13439799.1426	NC_000002.12	9606	196	196	29	1101	3
SRR13439799.1426	NC_000021.9	9606	196	196	29	1101	3
SRR13439799.1426	NC_000001.11	9606	196	196	29	1101	3
SRR13439799.1449	unclassified	0	0	0	0	2078	1
SRR13439799.1417	NC_000002.12	9606	289	225	53	1153	1
SRR13439799.1528	unclassified	0	0	0	0	1258	1
SRR13439799.1547	unclassified	0	0	0	0	1191	1
SRR13439799.1490	unclassified	0	0	0	0	1255	1
SRR13439799.1094	NC_000003.12	9606	121	121	26	1025	2
SRR13439799.1094	NC_000004.12	9606	121	121	26	1025	2
SRR13439799.1544	unclassified	0	0	0	0	1453	1
SRR13439799.1537	NC_000021.9	9606	81	0	24	1266	1
SRR13439799.1310	NC_000021.9	9606	289	289	32	2217	2
SRR13439799.1310	NT_187627.1	9606	289	289	32	2217	2
SRR13439799.1519	NC_000017.11	9606	225	0	30	1421	1
SRR13439799.1558	unclassified	0	0	0	0	1246	1
SRR13439799.1575	NC_000014.9	9606	100	0	25	1113	1
SRR13439799.1570	unclassified	0	0	0	0	1642	1
SRR13439799.1653	NC_000002.12	9606	196	196	29	1045	4
SRR13439799.1653	NC_000010.11	9606	196	196	29	1045	4
SRR13439799.1653	NC_000003.12	9606	196	196	29	1045	4
SRR13439799.1653	NC_000013.11	9606	196	196	29	1045	4
SRR13439799.1591	NC_000012.12	9606	81	0	24	1205	1
SRR13439799.1756	unclassified	0	0	0	0	1250	1
SRR13439799.1764	NC_000002.12	9606	529	64	38	1057	1
SRR13439799.1781	NC_000001.11	9606	81	81	24	1272	2
SRR13439799.1781	NC_000019.10	9606	81	81	24	1272	2
SRR13439799.1741	unclassified	0	0	0	0	1137	1
SRR13439799.1716	NC_000012.12	9606	64	0	23	1046	1
SRR13439799.1550	NC_000005.10	9606	121	0	26	2115	1
SRR13439799.1726	unclassified	0	0	0	0	1506	1
SRR13439799.1699	NW_003315942.2	9606	361	361	34	1256	2
SRR13439799.1699	NC_000012.12	9606	361	361	34	1256	2
SRR13439799.1673	NC_000008.11	9606	221	81	51	1270	1
SRR13439799.1725	unclassified	0	0	0	0	1260	1
SRR13439799.1790	NC_000023.11	9606	81	0	24	1056	1
SRR13439799.1783	NC_000007.14	9606	928	256	70	1353	1
SRR13439799.1845	NC_000019.10	9606	144	64	27	1037	1
SRR13439799.1822	NC_000015.10	9606	81	81	24	1229	3
SRR13439799.1822	NC_000005.10	9606	81	81	24	1229	3
SRR13439799.1822	NC_000012.12	9606	81	81	24	1229	3
SRR13439799.1882	unclassified	0	0	0	0	1029	1
SRR13439799.1875	species	9606	64	0	23	1005	1
SRR13439799.1886	unclassified	0	0	0	0	1525	1
SRR13439799.1784	NC_000006.12	9606	196	196	29	1668	2
SRR13439799.1784	NC_000020.11	9606	196	196	29	1668	2
SRR13439799.2032	NT_167245.2	9606	576	64	39	1114	1
SRR13439799.1961	NC_000007.14	9606	144	0	27	1491	1
SRR13439799.1998	NC_000004.12	9606	277	121	53	1334	1
SRR13439799.1895	unclassified	0	0	0	0	1265	1
SRR13439799.2002	NC_000021.9	9606	121	121	26	1086	2
SRR13439799.2002	NC_000022.11	9606	121	121	26	1086	2
SRR13439799.1833	NC_000008.11	9606	529	529	38	2581	2
SRR13439799.1833	NC_000009.12	9606	529	529	38	2581	2
SRR13439799.1971	NC_000004.12	9606	100	0	25	2793	1
SRR13439799.1867	NC_000001.11	9606	169	169	28	1659	2
SRR13439799.1867	NC_000004.12	9606	169	169	28	1659	2
SRR13439799.1967	unclassified	0	0	0	0	2113	1
SRR13439799.2040	unclassified	0	0	0	0	1293	1
SRR13439799.2091	unclassified	0	0	0	0	1387	1
SRR13439799.2092	NC_000009.12	9606	221	221	51	1032	2
SRR13439799.2092	NC_000015.10	9606	221	221	51	1032	2
SRR13439799.2055	NC_000020.11	9606	324	324	33	1317	3
SRR13439799.2055	NC_000007.14	9606	324	324	33	1317	3
SRR13439799.2055	NC_000012.12	9606	324	324	33	1317	3
SRR13439799.2062	unclassified	0	0	0	0	1050	1
SRR13439799.2083	NC_000004.12	9606	64	0	23	1111	1
SRR13439799.2054	NC_000014.9	9606	121	121	26	1276	2
SRR13439799.2054	NC_000007.14	9606	121	121	26	1276	2
SRR13439799.2025	unclassified	0	0	0	0	1071	1
SRR13439799.247	NC_000006.12	9606	169	0	28	1858	1
SRR13439799.2038	unclassified	0	0	0	0	1098	1
SRR13439799.2216	NC_000023.11	9606	324	324	33	1081	2
SRR13439799.2216	NC_000024.10	9606	324	324	33	1081	2
SRR13439799.2166	NC_000022.11	9606	121	0	26	1826	1
